feature,importance,feature_label,target_name,target_col,population,feature_set,model_type
class_active_users_d0_3,341,D0-D3 같은 반 활동 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B1_관계망,LightGBM
grade_users_d0_3,2386,D0-D3 같은 학년 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
friends_d3,2325,D3 친구 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
class_users_d0_3,1216,D0-D3 같은 반 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
grade_active_users_d0_3,1189,D0-D3 같은 학년 활동 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
class_active_users_d0_3,367,D0-D3 같은 반 활동 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
sent_vote_experience_d0_3,11,D0-D3 발신 경험 여부,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
sent_vote_complete_count_d0_3,6,D0-D3 완료 발신 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
sent_vote_count_d0_3,0,D0-D3 발신 투표 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
sent_vote_active_days_d0_3,0,D0-D3 발신 활동일수,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
sent_vote_distinct_chosen_users_d0_3,0,D0-D3 선택 고유 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
sent_vote_distinct_questions_d0_3,0,D0-D3 고유 질문 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
sent_vote_complete_rate_d0_3,0,D0-D3 발신 완료율,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
friends_d3,2298,D3 친구 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
grade_users_d0_3,2267,D0-D3 같은 학년 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
class_users_d0_3,1224,D0-D3 같은 반 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
grade_active_users_d0_3,1221,D0-D3 같은 학년 활동 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
class_active_users_d0_3,395,D0-D3 같은 반 활동 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
received_vote_count_d0_3,70,D0-D3 수신 Ping 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
received_vote_yn_d0_3,14,D0-D3 수신 경험 여부,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
first_received_vote_day_d0_3,7,첫 수신 발생일,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
received_vote_days_d0_3,4,D0-D3 수신 발생일수,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
point_use_after_received_vote_yn_d0_3,0,수신 후 포인트 사용 여부,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
point_use_after_received_vote_count_d0_3,0,수신 후 포인트 사용 횟수,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
friends_d3,2357,D3 친구 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
grade_users_d0_3,2192,D0-D3 같은 학년 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
grade_active_users_d0_3,1239,D0-D3 같은 학년 활동 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
class_users_d0_3,1218,D0-D3 같은 반 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
class_active_users_d0_3,409,D0-D3 같은 반 활동 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
received_vote_count_d0_3,64,D0-D3 수신 Ping 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
first_received_vote_day_d0_3,10,첫 수신 발생일,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
received_vote_yn_d0_3,8,D0-D3 수신 경험 여부,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
received_vote_days_d0_3,3,D0-D3 수신 발생일수,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
sent_vote_experience_d0_3,0,D0-D3 발신 경험 여부,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
sent_vote_distinct_chosen_users_d0_3,0,D0-D3 선택 고유 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
sent_vote_active_days_d0_3,0,D0-D3 발신 활동일수,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
sent_vote_complete_count_d0_3,0,D0-D3 완료 발신 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
sent_vote_count_d0_3,0,D0-D3 발신 투표 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
sent_vote_distinct_questions_d0_3,0,D0-D3 고유 질문 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
sent_vote_complete_rate_d0_3,0,D0-D3 발신 완료율,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
point_use_after_received_vote_yn_d0_3,0,수신 후 포인트 사용 여부,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
point_use_after_received_vote_count_d0_3,0,수신 후 포인트 사용 횟수,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
