friend_date,status,friend_request_count,send_user_count,receive_user_count
2023-12-27,P,196,16,190
2023-12-27,R,1,1,1
2023-12-27,A,4,4,4
2023-12-28,A,4,3,4
2023-12-28,P,214,11,214
2023-12-28,R,2,2,2
2023-12-29,A,3,3,3
2023-12-29,P,81,9,81
2023-12-29,R,2,1,2
2023-12-30,A,4,4,3
2023-12-30,P,173,19,164
2023-12-30,R,1,1,1
2023-12-31,P,44,13,44
2023-12-31,R,6,4,4
2024-01-01,R,3,2,2
2024-01-01,A,2,2,2
2024-01-01,P,27,8,27
2024-01-02,R,2,2,2
2024-01-02,P,61,9,61
2024-01-02,A,4,3,4
2024-01-03,A,1,1,1
2024-01-03,P,62,4,62
2024-01-04,A,5,3,5
2024-01-04,P,95,8,95
2024-01-04,R,1,1,1
2024-01-05,A,7,7,7
2024-01-05,P,113,19,112
2024-01-05,R,1,1,1
2024-01-06,A,5,5,5
2024-01-06,P,175,20,174
2024-01-06,R,1,1,1
2024-01-07,A,33,16,18
2024-01-07,P,451,48,439
2024-01-07,R,6,4,6
2024-01-08,R,7,3,7
2024-01-08,A,8,7,8
2024-01-08,P,359,33,358
2024-01-09,A,11,9,10
2024-01-09,P,343,32,336
2024-01-09,R,2,2,2
2024-01-10,A,6,6,6
2024-01-10,P,288,36,286
2024-01-10,R,3,3,3
2024-01-11,A,8,6,6
2024-01-11,P,450,42,445
2024-01-11,R,3,2,3
2024-01-12,R,3,2,3
2024-01-12,A,13,10,13
2024-01-12,P,337,42,333
2024-01-13,P,705,46,678
2024-01-13,R,8,4,7
2024-01-13,A,19,10,15
2024-01-14,R,5,3,5
2024-01-14,A,9,8,9
2024-01-14,P,448,43,446
2024-01-15,A,20,10,19
2024-01-15,P,604,42,588
2024-01-15,R,2,2,2
2024-01-16,A,10,7,10
2024-01-16,P,426,37,420
2024-01-16,R,4,2,2
2024-01-17,A,8,6,8
2024-01-17,P,426,36,426
2024-01-17,R,2,2,2
2024-01-18,A,5,5,5
2024-01-18,P,351,27,334
2024-01-18,R,2,2,2
2024-01-19,P,218,30,214
2024-01-19,R,3,3,3
2024-01-19,A,1,1,1
2024-01-20,A,4,3,4
2024-01-20,P,315,18,315
2024-01-20,R,1,1,1
2024-01-21,A,3,3,3
2024-01-21,P,132,16,132
2024-01-21,R,2,1,2
2024-01-22,A,2,2,2
2024-01-22,P,168,19,168
2024-01-22,R,9,2,9
2024-01-23,A,2,2,2
2024-01-23,P,128,13,128
2024-01-23,R,2,2,2
2024-01-24,P,276,16,275
2024-01-24,A,5,5,5
2024-01-24,R,6,1,6
2024-01-25,P,138,18,137
2024-01-25,A,22,8,7
2024-01-26,P,71,10,71
2024-01-26,R,1,1,1
2024-01-27,P,48,9,48
2024-01-28,A,3,2,3
2024-01-28,P,66,9,66
2024-01-28,R,1,1,1
2024-01-29,A,1,1,1
2024-01-29,P,49,8,49
